"","Year","Month","Day","Text","Count"
"721",2020,6,26,"trump",170120
"722",2020,6,26,"biden",48502
"723",2020,6,26,"joe biden",35731
"724",2020,6,26,"donald trump",35184
"725",2020,6,26,"fauci",19920
"726",2020,6,27,"trump",162973
"727",2020,6,27,"joe biden",29760
"728",2020,6,27,"donald trump",23595
"729",2020,6,27,"biden",19074
"730",2020,6,27,"putin",15731
"731",2020,6,28,"trump",185054
"732",2020,6,28,"putin",70253
"733",2020,6,28,"fauci",22487
"734",2020,6,28,"joe biden",21053
"735",2020,6,28,"cuomo",17301
"736",2020,6,29,"trump",107280
"737",2020,6,29,"putin",31511
"738",2020,6,29,"covid",13601
"739",2020,6,29,"karen",11946
"740",2020,6,29,"fauci",11838
"741",2020,6,30,"trump",115338
"742",2020,6,30,"fauci",47311
"743",2020,6,30,"rand paul",32967
"744",2020,6,30,"covid",29790
"745",2020,6,30,"biden",22563
"746",2020,7,1,"trump",122264
"747",2020,7,1,"fauci",44731
"748",2020,7,1,"covid",25195
"749",2020,7,1,"michael hickson",23227
"750",2020,7,1,"miles morales",22741
"751",2020,7,2,"trump",122974
"752",2020,7,2,"herman cain",47506
"753",2020,7,2,"fauci",14497
"754",2020,7,2,"covid",12882
"755",2020,7,2,"acosta",11485
